Gene	average_Primordial_follicle	average_Primary_follicle	average_Secondary_follicle	average_Antral_follicle	average_Preovulatory_follicle
A1BG	1.11234519907725	0.693100185500115	0.770912082208873	1.56478022470122	0.152619429481265
A1BG-AS1	0.0766049759260783	0.287895328911224	0.11481583278292	1.27787667983689	0.123397035218189
A1CF	0.0531752673199238	0.00773925841067117	0.304224693964775	2.51978351571666	2.57438490273944
A2M	0.248647482079936	0.0148871866571244	0	0.00544483808696481	0
A2M-AS1	0	0	0	0	0
A2ML1	0.263341962649621	0.342395037580887	1.31589504028504	1.58571807091586	0.316933427571245
A2MP1	0	0	0	0	0
A3GALT2	0.0211613275505765	0	0	0	0
A4GALT	3.56395149887775	4.33928119230522	3.13426579063205	4.83675733704868	0.851326369118898
A4GNT	0.150355946602257	0	0	0	0
AA06	0	0	0	0	0
AAAS	4.36103331088508	5.47445058763705	3.98339775885452	5.51879613668267	3.39792490233581
AACS	2.871879983403	3.99511631213288	3.63451129414112	5.04090341956266	3.72515052219152
AACSP1	0.844920589461585	2.59944991584057	0.645260365804701	1.59356272110255	1.09902499349337
AADAC	0.0782813143880969	0.00281090930464614	0.0862867369364816	0	0
AADACL2	0.0626407581992969	0	0	0	0
AADACL2-AS1	0.459862476087502	1.05363503453324	0.263357105892941	0.997124837086192	0.506114725171454
AADACL3	0.0328824850735601	0	0	0	0
AADACL4	0	0	0	0	0
AADACP1	0.111314653305481	0	0.0170042657098152	0	0
AADAT	0.108401683549963	0.614959832941017	0.0583944557149847	0.139354768433343	0.850049628002732
AAED1	0.903680409300213	2.40295927488503	3.30837692642578	1.57028334931767	0.617650248829844
AAGAB	2.04916271622581	1.94518322020171	2.1295883466683	2.27943813526726	2.16637170816098
AAK1	0.577708383256728	0.497300599845919	0.73300851790052	0.42204193988071	0.338873688660917
AAMDC	2.02770285319301	4.13102237055937	2.50492372493723	2.71299815282463	1.82686762860962
AAMP	3.21170192458905	4.15369140908952	2.32748753660748	2.3502321120738	0.76852501077921
AANAT	0.0617770465048109	0.000722642756032106	0.00430134733920025	0.530200203398012	0
AAR2	4.2898966042761	4.53175064761863	4.31460997354812	5.05604645986432	1.781986787454
AARD	0.406292284970628	0.326082486623954	1.85354290441481	0.73451149848831	0.971921589974257
AARS	4.67480023432616	5.44271189113959	2.47763864166928	3.85837390690711	0.613849216189573
AARS2	0.533789332172949	0.368576349794808	0.707708692557254	0.148449484601555	0.235818110474597
AARSD1	5.03527679256704	5.30216685431906	2.97928386636397	4.44612920548294	2.47864283341994
AASDH	0.536099562458128	1.30452924895126	2.02697356631579	2.34757853803438	2.44253344813629
AASDHPPT	2.45760860085771	3.56672583833484	2.92731899412376	2.957869513419	4.19933282091317
AASS	1.00024564683795	0.28788901524311	1.43548694932417	0.867385150174057	1.14075514156788
AATBC	0.00975411487480752	0	0	0.011026163738342	0
AATF	5.38510482063663	5.80805449115662	2.76697979848508	4.51157221708959	2.03375992268639
AATK	1.42686884887516	1.62318652221912	0.892125563221294	0.343900567922874	0.0180298766632059
AATK-AS1	0	0	0	0	0
ABALON	0.734686701088015	1.64306181804492	1.61319993999696	2.67382562750516	3.02883544656701
ABAT	1.81460306461903	2.6928018049441	2.07393347094136	2.13590382185733	1.97602177303122
ABCA1	0.588614786227128	1.14822736474815	0.932827393994444	0.743693896296885	0.843104278584636
ABCA10	0.0630214336723137	0.268265758261822	0.193559152133045	0.0509329053604064	0.0966624161175876
ABCA11P	2.14682461165065	2.04190971025028	0.902323363197614	1.77136874385205	1.78390464772977
ABCA12	0.716750812609002	1.2506166830838	0.972939941629373	0.421257774205881	0.596307438205591
ABCA13	0.177907020911771	0.118107179818851	0.0222008765157793	0.0196298774511295	0
ABCA17P	1.11115895413072	1.39584688343609	1.17953406239942	2.15024582147592	0.649408256301753
ABCA2	0.262446141252223	0.409711298883029	0.212749399998401	0.722028847755842	0.104820285010045
ABCA3	0.751993579351169	1.23300130790496	1.71136369704401	2.42181131134616	0.0583213708506413
ABCA4	0.166707491882644	0.119699901196255	0.427267328147496	0.981052974565963	0.167965297177769
ABCA5	1.87234976164372	2.73756169547617	1.29854938203302	1.18162898925534	2.37968195530197
ABCA6	0.00618190933629613	0.169734019521345	0.0540320375007159	0.0408676442832674	0.320546085190472
ABCA7	0.130356819610311	0.0450768403833718	0.442467730757144	0.18114446128336	0.00738877949779536
ABCA8	0.0360935471995917	0.0173712652228023	0.00667898369635869	0.00355752325618546	0
ABCA9	0.125535519511889	0.0770446359255127	0.20005622476586	0.0161059724373335	0.0715542936639414
ABCA9-AS1	0.230536661490717	0.614207308743482	0.0985112817258785	0.33643527988085	0.96625451900232
ABCB1	0.123148658089638	0.0658859602990498	0.151026157346867	0.389904800850407	0.69788315644237
ABCB10	0.912782943159805	1.81612238591838	0.810083853982713	0.251115668751716	0.439187532814106
ABCB11	0.0307107618976275	0.184478717524859	0.00290020824630553	0.015137215181647	0.180297870144695
ABCB4	2.03395604914903	2.31914305429327	2.08204493211818	7.24557046096591	5.67445419987485
ABCB5	0.183459402999877	0.0144707582160949	0.14092781439866	0.0451734499097107	0
ABCB6	0.932956586678332	2.44941717769719	1.1057015922984	2.11327670709315	0.0138079445131892
ABCB7	2.3760154423569	3.98613121477617	4.13634111678497	4.26391686911085	3.7040499237608
ABCB8	0.426020937050626	0.921494371689321	1.15729552672451	2.47593699647275	0.310165289149868
ABCB9	1.81931442526171	2.15266420028066	2.0731890034765	3.7511347027837	1.67051468419264
ABCC1	2.48283417723906	3.22494198144377	2.233350986494	2.07608768399304	1.1476583799661
ABCC10	0.19961820482898	0.689096899188318	0.709353959338489	1.73549638474003	0.349475617967661
ABCC11	0.076058791146745	0	0.00310705348252862	0.007687440964227	0.00593502092614213
ABCC12	0.0752609394263697	0.826652612790427	0.00267531984984762	0.0484106967909413	0.178877968848873
ABCC13	0.0925467026989299	0.00462437150866642	0.0134720958088477	0.000791925944424329	0
ABCC2	0.101072225757877	0.148923938672483	0.546846403363202	0.24629872839837	0.0143356888591844
ABCC3	0.0941197968381338	0.0511972609768694	0.873244867021348	2.345915530996	1.73672068402161
ABCC4	1.91792182961392	3.18803131693007	4.11275632230277	2.85881195078576	4.87899173591645
ABCC5	1.6944444938048	2.92586627831974	2.44562937594104	2.67838274671691	2.70903475281678
ABCC5-AS1	0	0	0	0	0
ABCC6	0.351224631031517	1.0603780455884	3.51549424749659	4.64380720967774	3.71948957632783
ABCC6P1	0.312553955935187	1.09269368292904	3.73920761721645	5.5724116505988	7.79359847007885
ABCC6P2	0.0399738855785035	0	0	0	0
ABCC8	0	0	0	0	0
ABCC9	1.60810446719616	0.893567039888717	1.80426994977074	0.183815549954466	0.034229396404083
ABCD1	0.171542372169528	0.190333958684099	0.220971403142364	2.14531589312417	0.16176734561193
ABCD2	0.00191847049351094	0	0	0	0
ABCD3	3.09229006707155	4.12443195978125	3.19380282570829	3.29001764926403	4.76693077810331
ABCD4	4.36207792671004	5.82931198449104	4.45150607822718	6.30997478676525	6.04644837506981
ABCE1	2.23807568108284	3.82257022875465	3.13007269039469	3.10986741146724	3.9510429538444
ABCF1	1.8323948164784	2.33603247912049	1.67593232322118	1.94488543660966	2.08649717494781
ABCF2	2.82696849369606	3.31068518509909	5.30065628352656	6.29422931238767	4.46409398367609
ABCF3	2.17136798569442	3.49536763605533	2.09007200735096	4.43546855806757	0.576131361022829
ABCG1	0.0425056550417984	0.00107071432445934	0	0.0297857824991165	0
ABCG2	0.472703114935241	1.68329119025086	0.75770276160357	0.776247906583399	0.810591949194284
ABCG4	0.0311903905744176	0.209287180681999	0.84829077262092	2.05947864907892	1.89403774476626
ABCG5	0	0.00190385181666807	0.0292032331721218	0.0520682214519363	0.426850123354219
ABCG8	0.995948264925207	1.13096427852537	0.669960393599482	1.54863373993155	1.31303543447118
ABHD1	0.132512232428803	0.23251074879292	0.623192543897982	0.974850095984326	0.0615993766696095
ABHD10	2.65020309898897	3.74269984286276	1.8585172530013	0.639310488335385	0.736960110191607
ABHD11	1.0309428016556	1.9969664188799	1.10481104792962	2.17244732948514	0.693031840302842
ABHD11-AS1	0	0	0	0	0
ABHD12	4.99732083721362	5.37525320153236	4.12465438098128	3.9756619887646	2.2737010176117
ABHD12B	1.48069338138291	2.79832565151741	2.47087063968495	4.02327971105811	1.77671018169785
ABHD13	0.735455142473337	1.02271815677871	0.611472811752454	0.911512925078244	0.703294422237933
ABHD14A	1.67341483930326	3.1007555567759	2.49174773295437	1.86769874358691	0.413103426266104
ABHD14A-ACY1	2.66716378654186e-07	4.12198376978069e-08	0	2.50902983559648e-07	0
ABHD14B	1.03994650659172	2.22177181870934	1.64597070519737	1.72206450972888	1.47907639898108
ABHD15	0.257310594824995	0.0623223924026783	0.369432013616499	0.129377520377831	0
ABHD16A	1.11310649883492	2.17842100406728	2.07750191149745	3.04688253959044	3.43953955156699
ABHD16B	0.0807924679395458	0.00620440395307049	0.127553027511944	0.23064348476785	0
ABHD17A	1.06210420060375	0.387654888906472	2.50429385396252	3.25354617697345	0.20251984445424
ABHD17B	2.14039701180416	3.03409132767604	4.12512919137654	3.4310631758601	4.27697396789653
ABHD17C	1.19807940631271	2.68978529279444	2.60645133364489	0.934717773023904	1.2492406063909
ABHD2	3.72436568564198	3.92420429500019	4.00831990388615	4.04811913461914	3.35744449109408
ABHD3	2.59917783624026	3.71848380682768	2.94550414872927	3.03653698810461	4.01087651618394
ABHD4	0.237933984365724	0.492893709672834	0.154085742088303	0.094270088038226	0.0718818460944267
ABHD5	1.26071543388911	2.65494747571001	2.31695732025902	2.80328933244275	1.36335075063122
ABHD6	0.780970210494371	1.1888088806685	2.04802370729189	0.789968948620234	0.233660598464147
ABHD8	0.0521476314687746	0.0610490643805633	0.0431541190814058	0.501619121819592	0.081749939278422
ABI1	2.08407263055121	3.15539457596552	2.75572963074274	3.48370999131892	3.13711414780026
ABI2	3.45306468510582	3.93267441572751	3.00249765783806	2.79720936535003	3.55037845393216
ABI3	0.004658843116361	0	0	0	0
ABI3BP	0.466470464856065	1.9083077356202	1.18960278677522	1.1385618826105	2.10291087687743
ABL1	1.64849583689028	2.43870408945495	2.86696260012603	4.78227384409685	4.81804570745512
ABL2	3.10152623227193	3.27382910703996	3.4870910437119	2.59750903368486	2.53093974115454
ABLIM1	2.91108625308055	3.26737643417112	1.41324429142965	0.669059063618391	1.15462213329646
ABLIM2	2.07190273341481	3.22156850762136	2.01121007259319	2.90144820694523	0.887026266237264
ABLIM3	0.11738107082852	0.671748543234278	0.399889951534832	0.231815404714591	0.158044870579655
ABO	0	0.149225808997156	0.0260702950311245	0.00755458942722162	0
ABR	2.27991849171469	3.61901940664826	2.35776297730343	3.8332338586377	2.34725611599669
ABRA	0.0164204070252392	0	0.0258003355169857	0	0
ABRACL	1.08409127258068	0.69865666631637	0.256031926860726	0.328519204158847	0.560200726143853
ABT1	2.72323388817137	4.26222577968927	1.34859829243414	1.07760326103739	0.358725421964983
ABTB1	1.01944415903063	1.63988612522075	0.353665040387719	1.27566911827854	0.171303956753615
ABTB2	1.57531161157699	1.83742276285882	4.37758662514996	5.31787630697684	5.2946431387224
ACAA1	4.36998087677931	4.99190998760874	4.41803572758074	4.97546303354567	4.41906953536059
ACAA2	4.40485830323103	5.49054270601614	4.89008866672824	4.90739467608331	3.84995797590553
ACACA	2.46877376865154	2.60862223050718	1.93662437873606	1.48151263655726	1.00923819446563
ACACB	0.103034146745446	0.216008805803684	0.0906036563895381	0.098792013288128	0.0248199062135933
ACAD10	1.41477805865549	1.3328090615869	0.514852717663244	0.519907532651081	0.111160456854571
ACAD11	1.11801007609311	2.30347445108628	3.61643511480601	3.98036535837765	5.49306890663561
ACAD8	1.92993652185361	3.32403278461609	2.94062266967119	3.89330926722374	3.77824301835008
ACAD9	0.859160320333086	1.61107615906671	1.79568135046687	2.41846579078103	0.201824445033318
ACADL	0.0242059008890478	0.444763541331207	0.0338176925634889	0.00690531803687708	0.0217999924929186
ACADM	1.92398799949928	3.52261352505463	2.52101473091714	0.510431108877064	0.656484236833993
ACADS	1.5240533373235	3.27572782284016	1.87532122290505	2.72710058794977	0.01120184682329
ACADSB	0.227025803384395	0.276598051217224	0.638600190009844	0.836530991705853	1.60125968719352
ACADVL	4.15361815721251	4.21626900260819	3.02477103375118	2.94990970706591	1.83339312228968
ACAN	0.183071820940459	0.05790777984928	0.0392950370971965	0.0273568806887956	0.00250136821603649
ACAP1	0.00387502611811747	0.0112570509335286	0	0	0
ACAP2	1.54937600506351	2.05319453258758	2.59758399715964	1.79390384899856	2.40111909193604
ACAP3	0.453897162587041	0.221513874996438	0.350149159664322	0.533356307413124	0.0370749096502404
ACAT1	5.35487703123922	6.44680804074519	5.21481123471228	5.89785484206444	6.07199368996231
ACAT2	2.58739506280452	4.96622186023644	2.84460966057865	4.66876075537779	5.25829277670127
ACBD3	2.81378281402487	4.48511236467021	4.27563659055734	3.40775009714938	4.51544923906677
ACBD4	0.23876299219993	0.375058971927077	0.494706204412952	1.17216086659347	0.129005436769438
ACBD5	0.327406016114457	0.451097354807576	0.493028309749684	0.133201266830923	0.521184021783416
ACBD6	2.52004822470784	4.48355718156478	2.67263701877702	3.05184955667364	3.54132611206447
