Gene	GV_Mean	MI_Mean	MII_Mean
DDX11L1	0.204646603	0.075348898	0.135337155
WASH7P	1.367817363	0.89362257	0.551706413
MIR1302-11	0.080156763	0.047954177	0.036421625
FAM138A	0.450269015	0.020009594	0.156331112
OR4G4P	0.176219818	0	0.042567322
OR4G11P	0.015161811	0	0.080609611
OR4F5	0.033187213	0	0
RP11-34P13.7	24.77273585	20.16520559	20.49899086
RP11-34P13.8	5.778543694	7.264306238	11.58088558
CICP27	0.045277298	0.035189983	0.014248426
AL627309.1	0.109738143	0.013137723	0.02705477
RP11-34P13.15	0.131012568	0.026330487	0.01506532
RP11-34P13.16	0	0	0
RP11-34P13.14	0	0.004195338	0.006437733
RP11-34P13.13	0.07869815	0.042096872	0.043623898
RNU6-1100P	0	0	0
RP11-34P13.9	0.007560296	0	0
AP006222.2	21.23554593	18.25329065	16.52730975
AP006222.1	4.19905794	2.465285539	1.87067968
RP4-669L17.10	0.697667589	0.333965102	0.301203861
RP4-669L17.8	0.042974343	0.01027654	0.009180239
CICP7	0.005121516	0.008205199	0.006196624
RP4-669L17.4	0.770904968	0.522731615	0.368633654
OR4F29	0.062156034	0.634348963	0.829239954
WBP1LP7	0.014277088	0	0
AL732372.1	0	0	0
RP4-669L17.2	4.400965824	1.79889138	1.795635954
RP5-857K21.15	8.523173683	7.777132199	5.348363263
RP4-669L17.1	4.530827618	2.341901619	2.573802114
RP5-857K21.1	6.607107181	5.968222641	4.095378187
RP5-857K21.2	3.960109516	2.087096652	1.08467719
RP5-857K21.3	2.881757482	1.733927325	0.957637738
RP5-857K21.4	2.541990275	1.660839856	1.570868944
RP5-857K21.5	0	0.018872545	0
MTND1P23	4393.432592	5760.384456	3154.913789
MTND2P28	1498.36826	1656.315288	1058.675205
hsa-mir-6723	2737.233292	4412.541171	2017.748768
RP5-857K21.7	1464.150723	1866.328458	876.6655623
MTATP8P1	400.4203135	509.4581991	216.1487708
MTATP6P1	2076.85442	2965.155724	1121.255682
RP5-857K21.11	1769.969635	2060.686518	969.1780824
WBP1LP6	0.012223073	0	0
OR4F16	0.062156034	0.641954883	0.829239954
CICP3	0.028152936	0.015876663	0.024040955
RP11-206L10.1	0.064885547	0.033130062	0.019003613
RP11-206L10.3	0.000533188	0.001647296	0.002883937
RNU6-1199P	0	0	0
RP11-206L10.5	0.042404744	0.07456403	0.008055739
RP11-206L10.4	0.007576876	0	0
RP11-206L10.2	1.544589135	0.826688955	1.04146186
RP11-206L10.9	0.072736243	0.088782769	0.116824317
RP11-206L10.8	7.250582737	4.132145859	1.773513173
AL669831.1	0	0	0
RP11-206L10.10	4.151580335	3.840056878	1.329266664
FAM87B	0.027782519	0.09161854	0.03916364
LINC00115	0.406191643	0.490480273	0.235934322
RP11-206L10.11	11.47888822	13.32268892	22.52186815
FAM41C	17.41008161	12.61355408	29.10466859
TUBB8P11	43.90559899	39.91701541	191.6864933
AL645608.2	1.728724427	0	0
RP11-54O7.16	0.059398858	0	0
RP11-54O7.1	0.014942963	0	0
RP11-54O7.2	0	0	0
RP11-54O7.3	0.015064306	0	0
SAMD11	0.215157419	0.012206601	0.044007153
AL645608.1	0	0	0
NOC2L	0.326757483	0.15453851	0.167426609
KLHL17	0.065856772	0.011523463	0.004374895
PLEKHN1	0.014930641	0	0
C1orf170	0	0	0
RP11-54O7.17	0	0	0
HES4	0.199985455	0	0.026570249
RP11-54O7.10	0.055510842	0.294081648	0.034502097
RP11-54O7.11	0	0	0
ISG15	0	0	0.083559882
AGRN	0.0078651	0.008616526	0.022430862
RP11-54O7.14	0	0.114401269	0
RP11-465B22.3	0.552508508	0.115187904	0.076238851
RP11-54O7.18	0.05102353	0	0
RNF223	0	0	0
C1orf159	0.127118621	0.051455317	0.089958215
RP11-465B22.5	0	0	0
MIR200B	0	0	0
MIR200A	0	0	0
MIR429	0	0	0
RP11-465B22.8	0	0	0
TTLL10-AS1	0	0.003197183	0
TTLL10	0	0.002863924	0
TNFRSF18	0	0	0
TNFRSF4	0	0	0
SDF4	0.983436153	0.204322162	0.409559564
B3GALT6	0.706849816	0.130395525	0.032123269
FAM132A	0.030092106	0	0
RP5-902P8.12	0.05690605	0	0
UBE2J2	8.364471464	1.822644713	1.935328122
RP5-902P8.10	0	0	0
SCNN1D	0.010359751	0	0
ACAP3	0.04494717	0.004441157	0.023847525
PUSL1	0.421125945	0.02788016	0.158095827
CPSF3L	0.194428436	0.032350527	0.046142806
RP5-890O3.9	0.058900823	0.608116412	0
GLTPD1	0.341508633	0.029515402	0.075432465
TAS1R3	0.234744786	0.030081873	0.058209165
DVL1	2.211524253	0.293800314	0.32874478
MXRA8	0	0	0
AURKAIP1	11.95581145	2.853163589	8.789439932
RP5-890O3.3	0.237518893	0.246156978	0.406468143
CCNL2	5.91623264	3.41898566	3.810366446
RP4-758J18.2	14.20136857	5.274182713	3.895449612
MRPL20	56.29604572	25.43787697	17.20669556
RN7SL657P	0.024276232	0	0.151635927
RP4-758J18.13	0.013689428	0	0
ANKRD65	0	0	0
RP4-758J18.7	0.298393461	0.311342534	0.040771354
TMEM88B	0	0	0
RP4-758J18.10	0	0	0
VWA1	0.02633484	0.014574336	0.004370947
ATAD3C	3.908007366	1.967593429	5.077036529
ATAD3B	0.298146558	0.119248692	0.190229543
ATAD3A	2.194487126	0.23854888	0.50928741
TMEM240	0	0.030532197	0
SSU72	13.27507756	6.274915183	8.888159518
AL645728.2	0	0	0.006958038
AL645728.1	3.067440461	0.765261547	1.618058068
AL645728.3	0.093562624	0	0
C1orf233	0.546361344	0.029037469	0.014536793
RP11-345P4.9	0.168753041	0.17698049	0.150232436
MIB2	0.618529337	0.264219086	0.143381636
MMP23B	1.854700519	0.399227749	0.406191553
CDK11B	26.06236754	22.78563534	12.2982371
RP11-345P4.10	0.583908939	0.250894216	0.120503363
SLC35E2B	0.451434115	0.1281051	0.069463456
RP11-345P4.7	0	0.021288018	0
RP11-345P4.6	0	0	0
MMP23A	3.753347528	0.764811431	0.774899352
CDK11A	10.16588942	9.047209109	5.274000993
RP1-283E3.8	8.025411728	7.132186309	4.294207892
RP1-283E3.4	0.376244354	0.515629742	0.274573516
SLC35E2	0.118855213	0.029501947	0.020708863
NADK	0.734788374	0.668466754	0.59657749
GNB1	9.458529914	15.32545601	11.73746573
RP1-140A9.1	0	0	0.033453878
CALML6	0	0	0
TMEM52	5.594217278	2.484138641	6.686942396
C1orf222	0.495233575	0.167690389	0.136092804
RP11-547D24.1	0	0	0
GABRD	0	0	0
RP11-547D24.3	0	0.083958746	0.056336828
PRKCZ	0.521943819	0.164182789	0.153577514
RP5-892K4.1	0.050944876	0.024807096	0.030059449
RP11-181G12.2	0	0.001754563	0
C1orf86	0.612956658	0.134560194	0.093907096
AL590822.2	0.034133008	0	0
AL590822.1	0	0	0
RP11-181G12.5	0	0	0
RP11-181G12.4	0	0	0
SKI	5.753677005	4.24108331	4.213949688
MORN1	0.123254915	0.0463739	0.080735412
RP4-713A8.1	0	0	0
AL589739.1	0	0	0
RP4-740C4.6	0.040937803	0	0.018395385
RP4-740C4.5	0.212483342	0	0
RP4-740C4.7	0	0.119286458	0.104596965
RP4-740C4.9	0	0	0
RP4-740C4.8	0	0	0
AL513477.1	0.191174504	0.056415137	0.088702409
RER1	12.0615039	4.819305219	8.520022338
PEX10	0.649719167	0.302535264	0.250171908
PLCH2	0.067456836	0.027388559	0.126125814
RP3-395M20.2	0	0	0
RP3-395M20.3	0	0	0
PANK4	0.334538091	0.005960142	0.13823787
HES5	0	0	0
RP3-395M20.12	0.086723273	0.078558546	0
RP3-395M20.8	0	0	0
TNFRSF14	0	0	0
RP3-395M20.7	0	0	0
RP3-395M20.9	0	0	0
FAM213B	0.170658678	0.070846157	0.049105557
MMEL1	0.011378289	0.010769687	0
RP13-436F16.1	0	0	0.118706945
TTC34	0.030188526	0	0.037523467
RP11-740P5.2	0	0	0
RP11-740P5.3	0	0	0
ACTRT2	0	0	0
LINC00982	0	0	0
AL008733.1	0	0	0
PRDM16	0.565666	0.079484535	0.168965444
RP1-163G9.2	0	0	0
RP11-22L13.1	0	0	0
ARHGEF16	0.764513603	0.882534598	0.970530455
RP11-168F9.2	0	0	0
MEGF6	0.828439413	0.276109134	0.348040284
MIR551A	0	0	0
RP11-46F15.2	0.215644792	0	0
TPRG1L	1.63642449	0.667881043	0.423064596
WRAP73	0.779285172	1.469996953	3.762926903
TP73	0.217495257	0.042609991	0.106483896
RP5-1092A11.5	0	0.04014796	0
RP5-1092A11.2	0	0	0
TP73-AS1	1.401667375	0.414097654	0.453643189
CCDC27	41.96658576	18.57444874	48.92770551
SMIM1	1.553661563	0.15937806	0.391460494
LRRC47	7.332968321	4.232863505	5.224709157
RN7SL574P	0	0	0
RP1-286D6.5	0.48838562	0.244702147	0.432842632
CEP104	3.808262771	3.561632438	4.88889783
DFFB	0.246641751	0.232619403	0.406400921
AL691523.1	0	0	0
C1orf174	9.720590127	14.21831154	25.91966822
RP13-15E13.1	0.086115989	0	0.077274172
RP13-614K11.1	0	0	0
RP13-614K11.2	0	0	0
RP11-374C13.1	0	0	0
RP5-1166F10.1	0	0	0
RP1-37J18.1	0	0	0
RP1-37J18.2	0	0	0
AJAP1	0.037583624	0.037844891	0.013151333
RP11-542C10.1	0	0	0.20251145
RP1-58B11.1	0	0	0
MIR4417	0	0	0
RP11-154H17.1	0	0	0
AL356693.1	0	0	0
MIR4689	0	0	0
NPHP4	0.731482517	0.181716602	0.431586914
AL356261.1	0	0	0
KCNAB2	0.236984174	0.073595535	0.042787768
AL035406.1	0.280687872	0	0.273319078
CHD5	0.026783136	0.035082769	0.003003593
RPL22	21.62469169	15.46963694	7.29948285
RP1-120G22.11	0	0	0
RNF207	0.303731445	0.339178437	0.184469162
ICMT	7.94818441	4.273349771	4.367712295
LINC00337	1.022598073	0.253042631	0.177060901
HES3	0	0	0
GPR153	0.719744016	0.219501236	0.232637071
ACOT7	4.066531782	0.892569955	1.476426701
RP1-202O8.3	0.05053585	0	0.017745244
HES2	0.032096507	0.00095176	0.021975615
ESPN	0.090922469	0.001252413	0.028996158
MIR4252	0	0	0
RP1-202O8.2	0	0	0
TNFRSF25	0.002660669	0	0.011372717
PLEKHG5	0.92168341	0.176495861	0.240300738
NOL9	1.148552812	0.960919482	1.218165221
RNU6-731P	0	0	0
RP11-58A11.2	0	0.075490178	0
TAS1R1	0	0	0
ZBTB48	0.765068542	0.206585981	0.128479563
KLHL21	0.003506283	0.001466348	0
PHF13	20.51448219	26.20863956	17.67994629
THAP3	0.699741833	0.044630713	0.095619477
DNAJC11	7.233361857	5.187597057	4.309492955
RP11-242F24.1	0	0	0
snoU13	0	0	0
RP11-312B8.1	0	0	0.146068499
CAMTA1	10.23829488	11.36580279	7.726277591
RP11-312B8.2	0.021141072	0.014818247	0.026318907
RP11-334N17.1	0	0	0
RNU1-8P	0	0	0
CAMTA1-IT1	2.524899691	0.695661009	0.670389608
RP3-453P22.2	0	0	0
RP4-549F15.1	0	0	0
RP11-338N10.1	0.050189646	0	0.025727885
RP11-338N10.2	0	0	0
RP11-338N10.3	0	0	0.227035308
VAMP3	32.31397413	38.49856209	52.61038746
RP3-467L1.6	0	0.696832292	0
PER3	2.7850557	3.336279668	3.041737902
RP3-467L1.4	3.072985598	4.385912698	4.108167863
UTS2	0.947514702	0.92636835	0.962699907
TNFRSF9	0	0	0
RP5-892F13.2	0	0	0.042689033
PARK7	78.1661907	138.4713136	152.8917642
Y_RNA	0	0	0
ERRFI1	1.565336706	3.011100753	2.705028547
RP11-431K24.1	0	0	0
CTA-215D11.4	0.119126833	0.347101069	0.235329274
RP11-431K24.2	0	0	0
RNU1-7P	0	0	0
RP11-431K24.3	0	0	0
RP11-431K24.4	0	0	0
RN7SL729P	0	0	0
RNU6-991P	0	0	0
SLC45A1	0.239061571	0.047489067	0.035903313
Y_RNA	0	0	0
RERE	6.161278794	5.612710731	3.721379692
RP5-1115A15.1	0	0	0
SNORA77	0	0	0
RP5-1115A15.2	0	0	0
RP4-633I8.1	0.363005596	0.804784561	0.698460576
RP4-633I8.2	0.121604406	0.076066062	0.096331483
Y_RNA	0	0	0
RP4-633I8.3	0	0	0
RP4-633I8.4	0	0	0.168303331
RP11-185B14.1	0.091230436	0.064117296	0
ENO1	13.04472453	8.352922247	4.205521008
ENO1-IT1	0	0	0
ENO1-AS1	0.09971806	0	0.099701361
RNU6-304P	0	0	0
HMGN2P17	3.998576409	1.185896457	1.797540309
RP3-477M7.5	1.350892662	0.284793314	0
RP3-477M7.6	0.27896586	0	0
CA6	0.222954989	0.213705502	0.218905619
RN7SL451P	0	0	0
SLC2A7	0.088638275	0	0
SLC2A5	0.094303196	0.153283712	0.413854212
SCARNA16	0	0	0
GPR157	0.047999563	0	0.033402937
MIR34A	0	0	0.270050345
RP3-510D11.1	0	0.025094336	0
RP3-510D11.2	0.085885293	0.057322088	0.075109877
H6PD	0.079771076	0.054111581	0.068697222
Z98044.1	0	0	0
SPSB1	2.835192571	1.23654321	1.754810887
RP13-392I16.1	0	0	0
SLC25A33	4.239896332	2.827980403	6.316464671
RP13-15M17.1	0.683629313	0.507791245	0.505916692
TMEM201	0.925339449	0.408150726	0.468483493
PIK3CD	4.834978586	1.763908995	1.176340337
C1orf200	0	0	0
RP11-558F24.2	0	0	0
RP11-558F24.4	1.952137892	0.339486469	0.637296459
CLSTN1	10.20999583	8.860482254	8.046998814
RP11-558F24.6	0	0	0
CTNNBIP1	1.301616919	0.565802787	0.796321381
RP11-84A14.5	3.628769463	2.243447399	1.712704878
LZIC	46.04621695	44.56261769	34.67915468
RP11-84A14.4	0.784800591	1.156642935	1.278960784
NMNAT1	0.946726771	0.859136607	0.715392087
RN7SKP269	0.023995796	0.012263999	0.496909506
MIR5697	0	0	0
RP11-807G9.2	0.095637611	0.051800236	0.034758273
RBP7	0.116018307	1.199944801	0.1989694
AL590639.1	0	0	0
UBE4B	1.11837594	0.972778186	0.985491353
RP11-496H15.2	0	0	0
PGAM1P11	0	0	0
RNU6-828P	0	0	0
KIF1B	1.744520345	1.670370261	1.657798631
MIR1273D	0	0	0
RNU6-37P	5.126162932	19.00698814	12.15549225
RN7SL731P	3.680781633	6.691735361	7.072644816
RN7SL721P	0	0	0
PGD	10.21650433	8.451358802	19.81317317
RP4-736L20.3	63.1511768	55.37700792	28.3721479
APITD1	294.7869937	220.4636583	149.2826424
APITD1-CORT	411.1234111	337.6402963	227.7181468
CORT	3.57089835	3.535314281	1.902153525
DFFA	2.014532117	0.909025347	1.680285128
RP5-1113E3.3	0.469630627	0.498392923	0.41484393
PEX14	2.848141356	0.984859925	1.203306637
RN7SL614P	0	0	0
CASZ1	0	0.002135035	0.005347427
RP4-734G22.3	0	0.024688979	0
RP11-340B24.3	0	0	0
C1orf127	0.480538704	0.347759602	0.170741684
CFL1P6	0	0	0
AL713997.1	0	0	0
Y_RNA	0	0	0
TARDBP	70.64094964	62.18302276	53.85662335
MASP2	0.005348322	0	0.010415829
RP4-635E18.8	0.33539183	0	0.068288593
SRM	5.653894487	4.249705834	19.42496487
EXOSC10	4.638479697	2.512368806	4.566158255
RP4-635E18.7	0.717804844	0.449541373	0.840149161
RP4-635E18.6	6.562535599	3.221814394	2.76306803
MTOR	2.616619042	0.914996019	0.985705397
MTOR-AS1	0.057122827	0.014800067	0.01986187
RNU6-537P	0	0	0
snoU13	0.389700919	0	0
ANGPTL7	0	0	0
RNU6-291P	0	0	0
RPL39P6	0.031671339	0.073028024	0
UBIAD1	4.273987669	1.811586211	2.489873446
UBE2V2P3	0.552192505	1.039314225	0.51134754
RP11-149P14.1	0	0	0
PTCHD2	0.090479254	0.012274873	0.036407535
RP1-69M21.2	0.041969756	0.029262377	0.028599598
FBXO2	0.753073252	0.245324706	0.539819367
FBXO44	0.006122511	0	0.014739068
FBXO6	0.406998196	0.189517115	1.098401146
MAD2L2	3.480628883	1.716537727	3.036979693
DRAXIN	0.017624277	0.001030206	0.00404377
AGTRAP	3.361624099	2.96737769	10.24429929
C1orf167	0.063981427	0.012958026	0.014776645
RP11-56N19.5	0	0	0
MTHFR	0.591622555	0.224111838	0.233635333
CLCN6	0.152242746	0.115956063	0.144381673
NPPA-AS1	0	0	0
NPPA	0	0	0
NPPB	0	0	0.23420549
RP5-934G17.6	0	0	0
RNU5E-1	2.616694554	3.054504367	1.359165354
