gene	EarlyMean	PreMeiMean	MeiMean	DICMean
A1BG	0.466851595006936	18.38	0.310098522167488	8.74931677018634
A1BG-AS1	0	0	0	0
A1CF	0	0	0	0
A2M	9.42143550624133	11.4142857142857	2.79795566502463	0.656273291925467
A2M-AS1	0	0.117301587301588	0	0
A2ML1	0.621380027739251	0	0	2.65229813664596
A2MP1	0	0	0	0
A3GALT2	0	0	0	0
A4GALT	20.4925242718447	0.14973544973545	0	28.0383850931677
A4GNT	0	0	0	0
AA06	0	0	0	0
AAAS	67.0658113730929	116.493544973545	53.8754187192118	121.863664596273
AACS	6.43194868238558	0.220899470899471	3.35029556650246	5.62826086956522
AACSP1	0	0	0	0.0636024844720499
AADAC	0	0	0	0
AADACL2	0	0	0	0
AADACL2-AS1	0	0.729100529100529	0.062536945812808	0.282546583850932
AADACL3	0	0	0	0
AADACL4	0	0	0	0
AADACP1	0	0	0	0
AADAT	5.63230235783634	4.69275132275132	14.5696059113301	19.6477639751553
AAED1	13.0803814147018	10.172328042328	5.92317733990148	6.21795031055901
AAGAB	41.1079819694868	63.9102645502645	110.856502463054	62.2873291925466
AAK1	46.1333287101248	78.7137566137566	58.4366502463054	136.90397515528
AAMDC	72.4014493758668	600.635608465608	166.765369458128	53.9014906832298
AAMP	169.692239944522	141.284814814815	67.854802955665	58.6803726708075
AANAT	0	0	0	0
AAR2	26.1439459084605	41.4237566137566	48.0019704433498	54.6709937888199
AARD	9.28438280166436	0	0.00497536945812811	0.161739130434783
AARS	67.576761442441	119.725132275132	43.0490640394089	23.1851552795031
AARS2	23.0002635228849	3.63301587301587	2.21894088669951	2.38459627329193
AARSD1	0	0	0	0
AASDH	95.4100138696255	39.5494708994709	81.4307881773399	26.5564596273292
AASDHPPT	112.79487517337	123.944656084656	52.3334482758621	60.3846583850932
AASS	1.25470873786408	6.21164021164021	27.8089408866995	5.72993788819876
AATBC	0	0	0	0
AATF	111.522191400832	116.949735449735	122.962980295566	92.4240372670808
AATK	0	0	0	0
AATK-AS1	0	0	0	0
ABALON	1.29266296809986	29.7374603174603	51.7985960591133	4.28304347826087
ABAT	0	0.0171428571428572	0	1.49360248447205
ABCA1	42.6735575589459	0.38936507936508	2.03645320197044	23.8932298136646
ABCA10	0	0	7.75364532019705	0.323540372670808
ABCA11P	2.0603814147018	2.9857671957672	3.66465517241379	4.87757763975156
ABCA12	0.140901525658807	0	0	0
ABCA13	0	4.67174603174603	3.99059113300493	1.78173913043478
ABCA17P	0.151872399445215	84.9833333333333	248.878620689655	42.1000621118013
ABCA2	0	0	0	0
ABCA3	1.7951040221914	10.0424338624339	13.2112807881773	23.1147826086957
ABCA4	0	0	0.355886699507389	0.0480745341614908
