average_zygote	average_Twocell	average_Fourcell	average_Eightcell	average_Morula
A1BG	0.379396980666667	0.331525049714286	0.0198682252380952	9.81011385707143	6.07570023016071
A1BG-AS1	0.181380550904762	0.12453837647619	0.116638768380952	1.23287775221429	0.745099368928571
A1CF	25.7994602009524	19.8953828571429	38.4752049945238	9.095794223	8.55887091517858
A2M	0	0	0	3.86122962175201e-18	0
A2M-AS1	0	0	0	0	0
A2ML1	11.9450309859048	11.7291796614286	17.2753583941429	4.2765856435	0.0923207449285714
A2MP1	0	0	0	0	0
A3GALT2	0	0.00342320238095238	0	0	0.00314461942857143
A4GALT	19.7390672452381	29.72728228	18.9293610404762	22.4365731978571	85.2647104783929
A4GNT	0	0.012104761952381	0	0	0
AA06	0	0	0	0	0
AAAS	29.1294932890476	28.879541002381	34.318817352619	33.9793694328571	30.4636814678571
AACS	41.9147207409524	33.0740351785714	62.29058137	11.4837750625	3.28060506258929
AACSP1	3.9127664047619	2.83356601557143	4.62902192780952	6.72100522442857	0.22120221175
AADAC	0	0	0	0.0628095030000002	0
AADACL2	0	0	0	0	0
AADACL2-AS1	1.6410140327619	0.664722723761905	0.659334895714286	0	0.839927543053572
AADACL3	0	0	0	0	0
AADACL4	0	0	0	3.4243980349759e-18	0
AADACP1	0	0	0	0	0
AADAT	1.16996991914286	1.23671700604762	1.05364077885714	3.45561794771429	8.94138615071429
AAED1	1.81356046890476	1.11314613409524	1.1119573532619	1.80076756442857	13.3419923536786
AAGAB	22.1159459671429	21.6526067314286	23.054179317881	6.58615672892857	8.20189024767857
AAK1	20.1081567757143	19.6218335609524	16.9588998424524	31.0980297171429	34.9388229832143
AAMDC	0.170818089761905	0.556178210476191	0.874348729595238	13.4709996839286	12.4037627943929
AAMP	1.742208572	1.766600143	2.19841502166667	82.1055355407143	80.5202926439286
AANAT	0.332546276142857	0.801244753904762	0.0225797394761905	0	0
AAR2	23.1181718347619	22.0684571104762	33.575511732619	122.617539975	88.7150073567857
AARD	2.15291755266667	1.61329027371429	1.12693323509524	1.6382097900447e-18	0.00233449089285714
AARS	22.2239018428571	11.9895657871429	34.0480724980952	16.0809005406429	57.46904936375
AARS2	0.361408835190476	0.600030175809524	1.01141571990476	41.3035759764286	44.3524256864286
AARSD1	0	0.0207550477142857	0	0.0997376572857143	0.0848672126071429
AASDH	12.0934858804762	11.6166475142857	6.36149980771429	29.3788152678571	20.8091006968214
AASDHPPT	51.9789979938095	25.2885792752381	15.3491543229048	11.9533886383571	12.5691375678571
AASS	7.54847778847619	7.0248575307619	14.9620626125714	7.738842309	9.49792084230357
AATBC	0.228679600571429	0.103469614047619	0	2.88480236524232e-18	0
AATF	25.0555455380952	18.2783534680952	44.4431235142857	116.733647651429	138.106948610893
AATK	0.0853632478571429	0.294292532095238	0.0115797877142857	0.0149070671428571	0
AATK-AS1	0	0	0	0	0
ABALON	17.6878758819048	18.5947646928571	16.1019980605952	3.58093174414286	1.51428049198214
ABAT	29.0607721038095	30.5076557542857	36.4989773090476	12.3782619394286	2.34677049896429
ABCA1	10.2267327990476	20.485787553619	9.70186473309524	0.470080929500001	1.31700525833929
ABCA10	1.56619794585714	1.15398885428571	1.24076126890476	1.1590788185	2.52972379903571
ABCA11P	7.31364864242857	5.44086516552381	3.69290112138095	13.5896202577143	7.21881722553572
ABCA12	5.74732804557143	4.961001149	13.5663175306667	2.41441105371429	2.59600701982143
ABCA13	0	0	0.00373882971428572	7.74261586521429	3.63850258571429
ABCA17P	5.10926258138095	4.58228214628571	6.24992196221429	19.0867822883571	46.4415989317857
ABCA2	4.34163106609524	3.02865585371429	12.5571506099286	1.26827569057143	0.0130421505
ABCA3	12.7554283738095	8.53402326309524	14.2183982089286	6.497534339	9.36434859076786
ABCA4	6.38561186371429	4.21616552223809	2.99284250114286	0.750179305785714	0.0214514751071429
ABCA5	33.6012961995238	28.2296420533333	30.7814989604762	13.8657502987857	3.77544427294643
ABCA6	1.41462391390476	0.964193704285714	3.61617166464286	0.970187353214286	2.98575522455357
ABCA7	0.267535985904762	0.29363591047619	0.191611079333333	0.119494442857143	1.14556357978571
ABCA8	3.69755278466667	2.60981074547619	0.911331013119048	0.929914325285714	1.25996659371429
ABCA9	0.817699906952381	1.05753542809524	0.128829157666667	0.876925636642857	2.07110325375
ABCA9-AS1	0.27057269452381	0.135955065714286	0.505800099928571	4.70340966174376e-18	0
ABCB1	0.11791419	0.0886027583333334	0.00912252321428571	4.6409149085	3.52799291098214
ABCB10	3.28524090433333	0.948450777571429	0.8270521195	0.895674294	13.0888551899821
ABCB11	0.962263409142857	0.820297720761905	0.564033209166667	0	0.00233436239285714
ABCB4	218.12316192381	337.836597914286	252.63073007619	29.3718107287143	0.396197337232143
ABCB5	0	0.012935276047619	0.00340261514285714	0	0.0853437880178572
ABCB6	2.2315960192381	1.2396762	1.78395106630952	3.08699376585714	15.8245210157679
ABCB7	57.8898403304762	47.1412602638095	63.8560353676191	30.1877615356429	14.7703155586607
ABCB8	4.50599541395238	3.6536325792381	4.09904167121429	3.55034114071429	9.28612746183929
ABCB9	14.6623137304762	18.2796428966667	21.4233233804762	14.1011840685	4.97788825646429
ABCC1	56.7967493409524	75.7246039347619	63.23795856	8.564363819	1.81875072553571
ABCC10	7.58630877414286	5.02131262142857	7.88819887416667	0.140247755571429	0
ABCC11	0	0.0184600396666667	0	0.00322879964285715	0.00387762103571429
