gene.id	mut.cls1	mut.cls2	dn.cls1	dn.cls2
ABCA4	1.02E-05	6.83E-05	0	0
ABCE1	3.26E-06	1.55E-05	0	0
ABCF1	4.22E-06	2.49E-05	1	0
ABRACL	3.75E-07	2.35E-06	0	1
ACAD8	2.26E-06	1.26E-05	0	1
ACP3	1.72E-06	9.37E-06	1	0
ACP7	2.22E-06	1.68E-05	0	1
ACTR3	1.79E-06	9.77E-06	0	1
ACVR1	1.97E-06	1.31E-05	0	1
ADCY5	4.82E-06	4.61E-05	0	0
ADCYAP1R1	2.50E-06	1.39E-05	0	1
ADGRL2	5.83E-12	1.99E-09	0	1
ADGRL3	4.68E-06	3.09E-05	0	0
ADNP2	3.05E-06	2.65E-05	0	1
AEBP1	4.88E-06	4.04E-05	0	0
AFAP1	3.30E-06	2.54E-05	1	0
AFF2	5.06E-06	3.51E-05	0	1
AHRR	2.49E-06	2.40E-05	0	1
AIM2	1.20E-06	9.24E-06	0	1
ALDH18A1	3.63E-06	2.41E-05	0	1
ALDH6A1	2.61E-06	1.36E-05	0	0
ANKMY1	3.44E-06	3.06E-05	0	1
ANKRD33	1.44E-06	1.16E-05	0	1
ANO8	4.30E-06	3.71E-05	1	0
AP5B1	1.47E-06	1.34E-05	0	0
APBB1IP	2.20E-06	1.29E-05	1	0
APEH	2.93E-06	2.12E-05	0	1
ARFGAP2	2.24E-06	1.47E-05	0	1
ARHGAP10	3.70E-06	2.10E-05	0	1
ARHGAP33	4.17E-06	3.17E-05	0	0
ARHGEF3	2.50E-06	1.53E-05	0	1
ARMCX5	8.36E-07	5.79E-06	0	1
ASB10	1.45E-06	1.58E-05	0	0
ATG2B	9.26E-06	5.42E-05	0	1
ATN1	4.08E-06	3.29E-05	1	0
ATP10B	6.18E-06	4.28E-05	0	1
ATP2B3	4.22E-06	4.32E-05	0	0
ATXN1	2.46E-06	2.96E-05	0	1
ATXN3	2.01E-06	8.88E-06	0	1
ATXN7L1	1.95E-06	4.35E-06	0	1
BAIAP2	1.97E-06	1.94E-05	0	1
BAIAP2L2	1.76E-06	1.50E-05	0	1
BCAS3	4.58E-06	2.67E-05	1	0
BCL9L	4.69E-06	4.90E-05	0	1
BEND2	3.09E-06	2.01E-05	0	0
BICC1	4.43E-06	2.75E-05	0	0
BMP5	2.06E-06	1.32E-05	1	0
BUB1	4.60E-06	2.58E-05	0	1
C10orf71	3.60E-06	1.88E-05	0	1
C11orf49	1.12E-06	6.63E-06	0	1
C12orf29	1.24E-06	7.42E-06	0	1
C1orf198	1.12E-06	1.02E-05	0	1
C1QL2	3.96E-07	4.17E-06	0	1
C20orf194	5.65E-06	3.02E-05	0	1
C6orf136	1.46E-06	1.01E-05	0	0
C7	2.88E-06	2.05E-05	0	1
CA11	1.67E-06	1.06E-05	1	0
CACNA1B	6.41E-06	6.36E-05	0	0
CACNG5	9.55E-07	9.90E-06	0	1
CANX	2.75E-06	1.47E-05	0	0
CAPN13	2.34E-06	2.05E-05	0	0
CAPN14	1.03E-06	1.61E-06	0	0
CARNMT1	1.65E-06	8.36E-06	1	0
CASP8AP2	6.31E-06	4.11E-05	0	1
CCDC141	4.79E-06	2.17E-05	0	1
CCDC158	5.08E-06	2.86E-05	0	0
CCDC33	3.59E-06	2.29E-05	0	1
CD163L1	6.35E-06	4.06E-05	0	0
CD74	1.07E-06	8.96E-06	0	1
CDHR5	2.95E-06	2.87E-05	1	0
CDK8	2.81E-06	1.25E-05	1	0
CDKN1C	1.80E-14	4.68E-11	0	1
CEMIP	5.50E-06	4.11E-05	0	1
CEP170B	3.93E-06	4.26E-05	0	1
CHCHD5	5.04E-07	3.89E-06	0	1
CHCHD6	9.71E-07	7.60E-06	0	1
CHN1	1.46E-06	1.18E-05	0	1
CHST15	2.03E-06	1.94E-05	1	0
CKLF	5.81E-07	4.47E-06	0	1
CLASP2	5.71E-06	3.61E-05	0	1
CNGA2	1.87E-06	1.41E-05	0	0
CNTD1	1.30E-06	7.27E-06	0	1
COL20A1	3.97E-06	3.93E-05	0	1
COLEC11	2.89E-13	1.89E-10	0	1
COP1	3.64E-06	1.59E-05	0	1
COPS8	7.83E-07	4.23E-06	0	0
COQ8B	2.37E-06	1.89E-05	0	1
CPEB3	2.64E-06	1.90E-05	0	1
CPS1	6.28E-06	3.84E-05	0	0
CPXM1	3.00E-06	2.33E-05	1	0
CREBBP	9.46E-06	6.90E-05	0	1
CRELD1	2.17E-06	1.31E-05	0	1
CSMD2	1.47E-05	0.000115	0	0
CTBP2	3.71E-06	3.93E-05	0	1
CUL7	6.82E-06	5.23E-05	0	1
CYP4F22	2.18E-06	1.94E-05	0	1
DAAM1	5.19E-06	2.94E-05	0	1
DAPK2	1.49E-06	1.33E-05	0	1
DCAF1	4.81E-06	3.79E-05	0	1
DCHS1	1.02E-05	9.39E-05	0	1
DEFB112	5.66E-07	3.15E-06	1	0
DENR	5.94E-07	3.24E-06	0	1
DGKZ	5.35E-06	3.60E-05	1	0
DLGAP2	3.19E-06	4.21E-05	0	0
DMRTC2	1.57E-06	1.11E-05	0	1
DMXL1	1.14E-05	6.93E-05	0	1
DNAH10	1.60E-05	0.000132	1	0
DNAH14	9.08E-06	4.91E-06	0	1
DNAH2	2.01E-05	0.000146	0	1
DNAH3	1.69E-05	0.00012	0	0
DNAJB12	1.70E-06	1.32E-05	0	1
DNPH1	4.10E-07	2.85E-06	0	0
DOCK4	7.39E-06	5.58E-05	0	0
DPP7	2.13E-06	1.92E-05	1	0
DSC3	2.93E-06	2.00E-05	0	1
DVL2	2.91E-06	2.59E-05	0	1
DXO	1.69E-06	1.40E-05	1	0
EDA2R	1.18E-06	7.84E-06	0	1
EEF2K	3.67E-06	2.69E-05	0	1
EEFSEC	1.68E-06	1.83E-05	0	1
EFHB	3.17E-06	2.06E-05	0	0
EFS	1.84E-06	1.66E-05	0	0
EHD4	2.14E-06	2.10E-05	0	1
EIF2AK1	2.89E-06	1.61E-05	0	1
EIF2AK4	7.89E-06	4.97E-05	0	0
ELAC2	3.57E-06	2.46E-05	0	1
ELN	5.87E-12	8.81E-10	0	1
EML1	3.94E-06	2.43E-05	0	0
EML5	6.99E-06	4.62E-05	0	0
EMP2	6.26E-07	5.86E-06	0	1
EN2	5.72E-07	3.64E-06	0	1
ENPP7	1.50E-06	1.82E-05	0	1
ERC2	3.68E-06	2.35E-05	0	1
ERICH1	1.58E-06	1.39E-05	1	0
ESPL1	8.65E-06	5.79E-05	0	1
EVC	4.07E-06	2.92E-05	0	1
FAM149B1	1.53E-06	1.33E-06	0	0
FAM160B1	3.56E-06	1.90E-05	1	0
FAM193A	3.92E-06	3.18E-05	0	1
FAM20C	1.01E-06	2.69E-06	0	1
FAM47A	2.57E-06	3.04E-05	0	1
FAM83B	4.01E-06	2.47E-05	0	0
FAN1	4.13E-06	2.77E-05	0	1
FBN2	1.24E-05	8.56E-05	0	1
FBXO38	5.22E-06	3.14E-05	0	1
FCRL2	1.78E-06	1.09E-05	0	1
FCRL5	3.46E-06	2.61E-05	0	1
FIGN	2.49E-06	2.17E-05	0	1
FLT3	4.36E-06	2.56E-05	0	1
LUC7L2	5.02E-07	4.68E-06	0	1
FMO5	2.13E-06	1.34E-05	0	1
FMR1	2.78E-06	1.73E-05	0	1
FOXK2	1.95E-06	2.04E-05	0	1
FOXL1	8.61E-07	1.22E-05	0	1
FRMD1	2.20E-06	2.10E-05	0	1
FURIN	3.24E-06	2.92E-05	0	0
FZD7	1.69E-06	2.77E-05	0	1
GABRA6	1.62E-06	1.15E-05	0	1
GALC	3.02E-06	1.67E-05	1	0
GALNT15	2.21E-06	1.34E-05	0	1
GAPVD1	6.14E-06	3.77E-05	0	1
GATAD2B	2.78E-06	1.83E-05	0	0
GCAT	1.48E-06	1.43E-05	0	0
GDF15	1.19E-06	1.64E-05	1	0
GLRX3	1.66E-06	7.26E-06	0	1
GLYR1	2.21E-06	1.47E-05	0	0
GPATCH3	2.09E-06	1.88E-05	0	0
GPR155	3.62E-06	2.09E-05	0	1
GPR39	1.30E-06	1.71E-05	1	0
GREB1	7.26E-06	6.60E-05	1	0
GRM6	3.21E-06	2.84E-05	0	0
GSTA1	8.40E-07	5.60E-06	1	0
GTF3C1	9.23E-06	7.48E-05	0	1
GTF3C5	2.45E-06	2.02E-05	0	1
GYS2	3.32E-06	1.82E-05	0	1
